text,sentiment
"Immortality, it bears different meanings",5 stars
to different beings.,3 stars
It has,4 stars
two different interpretations.,2 stars
"For some, they will tear",3 stars
the universe apart to gain its power.,5 stars
"But, for some, it's about finding",3 stars
the true hero within,5 stars
by embracing faith and hope.,5 stars
This is the story,5 stars
of two such beings,2 stars
intertwined by the cosmic wheel,5 stars
of destiny.,5 stars
"Ravan, whose end",4 stars
is soon beginning.,4 stars
"And another, whose beginning",3 stars
shall never end... Hanuman.,5 stars
"No more games, my son!",5 stars
Where are you?,1 star
"No more games, my son!",5 stars
Where are you?,1 star
Where are you?,1 star
Here I am!,5 stars
Where are you?,1 star
Here I am.,5 stars
"Oh! Be careful, son!",5 stars
You promised me a story.,5 stars
I want a story.,4 stars
I am ready for another lesson.,5 stars
What story shall you teach me today?,5 stars
Today you will learn,5 stars
how gods gained immortality.,5 stars
"Long ago, all the gods",5 stars
went to the fearsome asuras,1 star
and made a deal,5 stars
to churn the ocean,5 stars
and gain the nectar of immortality.,5 stars
"If they worked together, they would share",3 stars
the fabled nectar between them.,5 stars
The asuras agreed.,4 stars
Together they churned,4 stars
the Ocean of Milk,5 stars
using the great snake Vasuki,5 stars
wrapped around Mount Mandara.,5 stars
And then the nectar was produced.,2 stars
"Yet, when the time came,",3 stars
"Vishnu, in his infinite wisdom,",5 stars
tricked the asuras,5 stars
"by distracting them,",4 stars
ensuring that only the gods,5 stars
would drink the nectar,2 stars
and claim the gift of eternity.,5 stars
Vishnu knew that if the asuras,3 stars
"became immortal, they would...",5 stars
Enslave all beings and cast the three,5 stars
realms into an endless darkness.,5 stars
I will fight evil just like the gods!,5 stars
I will make sure their darkness never,5 stars
spreads across the three realms!,5 stars
You just watch me!,5 stars
"So you see, son,",5 stars
the gods saved us all.,5 stars
"You're wrong, Father.",1 star
The asuras kept their word.,4 stars
Why were they denied their fair share?,1 star
Such evil cannot be given,1 star
so powerful a gift. The gods knew this.,5 stars
How can you say that? Isn't mother,1 star
part of asura and rakshas ancestry?,2 stars
Aren't I?,1 star
"Yes, but you don't understand...",3 stars
"No, you don't understand!",1 star
"Had the gods not betrayed us,",2 stars
we would have been immortal!,5 stars
The gods lied. They stole from us!,5 stars
It's time for a payback.,3 stars
I will have my revenge!,5 stars
"Wait, son! Listen...",1 star
"Please, Ravan, come back!",5 stars
Anjana?,3 stars
"What is it, Ma?",3 stars
Wait here.,1 star
Ma!,3 stars
Ma!,3 stars
"Please, he is only a child.",1 star
He doesn't know what he does.,3 stars
Please forgive him.,1 star
O mighty God.,5 stars
We were cheated out of our birthright,1 star
by the Gods.,5 stars
I swear I will put my heel,5 stars
upon their throats.,2 stars
"But to get rid of their light,",3 stars
I need your darkness.,5 stars
There are secret methods and ways,5 stars
to gain such power.,5 stars
But are you prepared for the price?,3 stars
"Tell me. To gain my power,",5 stars
what are you willing to sacrifice?,5 stars
"Except my revenge, everything!",1 star
"He has grown too powerful, Anjana.",2 stars
He almost ate the sun.,4 stars
If I had not intervened...,2 stars
"But you did, my Lord!",5 stars
Give him time and he will learn,4 stars
to control his great power.,5 stars
Till then we must ensure,5 stars
he cannot do such harm.,1 star
"The gods have decided his power,",5 stars
his immortality,5 stars
"shall be taken from him, forgotten,",1 star
until such time he is ready.,4 stars
"Please, without his powers,",1 star
he'll be nothing.,1 star
No! There's a strength,1 star
"within the child, a purity.",5 stars
His powers are holding him back.,5 stars
"As Devraj, I'm here to make him",5 stars
"forget all his powers,",1 star
face the real challenges,5 stars
he is meant to face,4 stars
and become the hero he is meant to be.,5 stars
"Leave her alone! If you hurt her,",1 star
I will hurt you a hundred-fold!,5 stars
"Yes, I believe you would.",5 stars
"And, for that very reason...",3 stars
I must do this.,5 stars
"Forget, child... forget.",1 star
"Are we there, yet?",3 stars
Can we stop?,1 star
My feet ache and look...,3 stars
even my tail is limp.,2 stars
Where is he?,1 star
He should have returned by now.,2 stars
"Quiet, you fools!",5 stars
The borders of Kishkindha are no place,1 star
to be flapping your lips.,1 star
There could be spies of my brother,3 stars
lurking nearby or even rakshasas.,2 stars
Though I doubt any rakshas would be,3 stars
so desperate to eat either of you.,1 star
What? I'm sure I'm most delicious.,3 stars
A feast for any rakshas!,5 stars
A feast? You'd be the most meagre,3 stars
"meal, brother. Even ants will go hungry.",5 stars
Just stringy meat and bones!,1 star
